"","unique_titles","n_words_s_y","n_words","series","year","genre"
"83","7 Deadly Sins_2014",20958,2727,"7 Deadly Sins","2014","Documentary"
"84","7th Heaven_1996",27877,5435,"7th Heaven","1996","Scripted"
"85","7th Heaven_1997",17352,5523,"7th Heaven","1997","Scripted"
"86","7th Heaven_2003",60269,5301,"7th Heaven","2003","Scripted"
"87","7th Heaven_2004",77613,5765,"7th Heaven","2004","Scripted"
"88","8 Simple Rules_2002",38896,2738,"8 Simple Rules","2002","Scripted"
"89","8 Simple Rules_2003",46324,3129,"8 Simple Rules","2003","Scripted"
"90","800 Words_2015",44083,5412,"800 Words","2015","Scripted"
"91","800 Words_2016",12138,6298,"800 Words","2016","Scripted"
"92","90210_2008",60370,5822,"90210","2008","Scripted"
"93","90210_2009",129853,4910,"90210","2009","Scripted"
"94","90210_2010",105981,5219,"90210","2010","Scripted"
"95","90210_2011",124135,5790,"90210","2011","Scripted"
"96","90210_2012",128815,6414,"90210","2012","Scripted"
"97","90210_2013",82117,6314,"90210","2013","Scripted"
"98","A Bit of Fry and Laurie_1987",6589,6589,"A Bit of Fry and Laurie","1987","Scripted"
"99","A Bit of Fry and Laurie_1989",29059,5070,"A Bit of Fry and Laurie","1989","Scripted"
"100","A Bit of Fry and Laurie_1990",25109,4264,"A Bit of Fry and Laurie","1990","Scripted"
"101","A Bit of Fry and Laurie_1992",25470,3873,"A Bit of Fry and Laurie","1992","Scripted"
"102","A Bit of Fry and Laurie_1995",31784,4122,"A Bit of Fry and Laurie","1995","Scripted"
"103","A Dorothy L. Sayers Mystery_1987",59215,5248,"A Dorothy L. Sayers Mystery","1987","Scripted"
"104","A Gifted Man_2011",49734,5027,"A Gifted Man","2011","Scripted"
"105","A Gifted Man_2012",40400,6206,"A Gifted Man","2012","Scripted"
"106","A History of Ancient Britain_2011",14060,6648,"A History of Ancient Britain","2011","Documentary"
"107","A History of Britain_2000",47644,6415,"A History of Britain","2000","Documentary"
"108","A History of Britain_2001",26845,6740,"A History of Britain","2001","Documentary"
"109","A History of Britain_2002",27389,6509,"A History of Britain","2002","Documentary"
"110","A History of Christianity_2009",38959,6908,"A History of Christianity","2009","Documentary"
"111","A History of Horror with Mark Gatiss_2010",19971,6728,"A History of Horror with Mark Gatiss","2010","Documentary"
"112","A History of Scotland_2008",32029,7331,"A History of Scotland","2008","Documentary"
"113","A History of Scotland_2009",33353,6669,"A History of Scotland","2009","Documentary"
"114","A Moody Christmas_2012",24624,4094,"A Moody Christmas","2012","Scripted"
"115","A Mother's Son_2012",7880,3813,"A Mother's Son","2012","Scripted"
"116","A Nero Wolfe Mystery_2001",68906,7304,"A Nero Wolfe Mystery","2001","Scripted"
"117","A Nero Wolfe Mystery_2002",95663,6699,"A Nero Wolfe Mystery","2002","Scripted"
"118","A Passionate Woman_2010",20532,9009,"A Passionate Woman","2010","Scripted"
"119","A Perfect Spy_1987",28575,3587,"A Perfect Spy","1987","Scripted"
"120","A Place to Call Home_2013",51984,4434,"A Place to Call Home","2013","Scripted"
"121","A Place to Call Home_2014",34582,4351,"A Place to Call Home","2014","Scripted"
"122","A Place to Call Home_2015",43124,3552,"A Place to Call Home","2015","Scripted"
"123","A Place to Call Home_2016",57395,4411,"A Place to Call Home","2016","Scripted"
"124","A Science Odyssey_1998",62631,12014,"A Science Odyssey","1998","Scripted"
"125","A Series of Unfortunate Events_2017",48559,5695,"A Series of Unfortunate Events","2017","Scripted"
"126","A Touch of Cloth_2012",8783,4464,"A Touch of Cloth","2012","Scripted"
"127","A Touch of Cloth_2013",10015,5099,"A Touch of Cloth","2013","Scripted"
"128","A Touch of Cloth_2014",4730,4730,"A Touch of Cloth","2014","Scripted"
"129","A Touch of Frost_1992",24608,11415,"A Touch of Frost","1992","Scripted"
"130","A Touch of Frost_1995",9871,9871,"A Touch of Frost","1995","Scripted"
"131","A Touch of Frost_1996",9400,9400,"A Touch of Frost","1996","Scripted"
"132","A Touch of Frost_1997",44355,11959,"A Touch of Frost","1997","Scripted"
"133","A Touch of Frost_1999",45040,11104,"A Touch of Frost","1999","Scripted"
"134","A Touch of Frost_2000",7527,7527,"A Touch of Frost","2000","Scripted"
"135","A Touch of Frost_2001",14826,14826,"A Touch of Frost","2001","Scripted"
"136","A Touch of Frost_2002",15889,7798,"A Touch of Frost","2002","Scripted"
"137","A Touch of Frost_2003",43205,11825,"A Touch of Frost","2003","Scripted"
"138","A Touch of Frost_2004",9753,9753,"A Touch of Frost","2004","Scripted"
"139","A Touch of Frost_2005",10558,10558,"A Touch of Frost","2005","Scripted"
"140","A Touch of Frost_2006",9982,9982,"A Touch of Frost","2006","Scripted"
"141","A Touch of Frost_2008",27767,9897,"A Touch of Frost","2008","Scripted"
"142","A Touch of Frost_2010",17317,8466,"A Touch of Frost","2010","Scripted"
"143","A Traveler's Guide to the Planets_2010",36564,5840,"A Traveler's Guide to the Planets","2010","Documentary"
"144","A Very British Airline_2014",27323,10327,"A Very British Airline","2014","Scripted"
"145","A Very British Romance_2015",15895,8526,"A Very British Romance","2015","Scripted"
"146","A Young Doctor's Notebook & Other Stories_2012",9053,2177,"A Young Doctor's Notebook & Other Stories","2012","Scripted"
"147","A Young Doctor's Notebook & Other Stories_2013",9382,2275,"A Young Doctor's Notebook & Other Stories","2013","Scripted"
"148","A to Z_2014",30937,3793,"A to Z","2014","Scripted"
"149","A to Z_2015",14333,3572,"A to Z","2015","Scripted"
"150","A.D. The Bible Continues_2015",39805,3987,"A.D. The Bible Continues","2015","Scripted"
"151","ABC Close-Up!_1961",10952,7299,"ABC Close-Up!","1961","Documentary"
"152","ALF_1986",20224,2212,"ALF","1986","Scripted"
"153","ALF_1987",59439,2495,"ALF","1987","Scripted"
"154","ALF_1988",53437,1801,"ALF","1988","Scripted"
"155","ALF_1989",67600,2448,"ALF","1989","Scripted"
"156","ALF_1990",29328,2263,"ALF","1990","Scripted"
"157","APB_2017",69577,6167,"APB","2017","Scripted"
"158","About a Boy_2014",67070,2787,"About a Boy","2014","Scripted"
"159","About a Boy_2015",36928,3199,"About a Boy","2015","Scripted"
"160","Above Suspicion_2009",11573,7979,"Above Suspicion","2009","Scripted"
"161","Above Suspicion_2012",17590,5794,"Above Suspicion","2012","Scripted"
"162","Absolute Power_2003",22313,3607,"Absolute Power","2003","Scripted"
"163","Absolute Power_2005",24513,3734,"Absolute Power","2005","Scripted"
"164","Absolutely Fabulous_1992",23313,4070,"Absolutely Fabulous","1992","Scripted"
"165","Absolutely Fabulous_1994",19114,3346,"Absolutely Fabulous","1994","Scripted"
"166","Absolutely Fabulous_1995",20269,3460,"Absolutely Fabulous","1995","Scripted"
"167","Absolutely Fabulous_1996",10711,5854,"Absolutely Fabulous","1996","Scripted"
"168","Absolutely Fabulous_2001",23323,3622,"Absolutely Fabulous","2001","Scripted"
"169","Absolutely Fabulous_2002",7530,7530,"Absolutely Fabulous","2002","Scripted"
"170","Absolutely Fabulous_2003",30220,3673,"Absolutely Fabulous","2003","Scripted"
"171","Absolutely Fabulous_2004",6207,6207,"Absolutely Fabulous","2004","Scripted"
"172","Absolutely Fabulous_2011",4045,4045,"Absolutely Fabulous","2011","Scripted"
"173","Absolutely Fabulous_2012",7867,3704,"Absolutely Fabulous","2012","Scripted"
"174","Abstract: The Art of Design_2017",37374,5232,"Abstract: The Art of Design","2017","Documentary"
"175","Accidentally on Purpose_2009",32406,3024,"Accidentally on Purpose","2009","Scripted"
"176","Accidentally on Purpose_2010",20176,2512,"Accidentally on Purpose","2010","Scripted"
"177","According to Jim_2001",27385,2632,"According to Jim","2001","Scripted"
"178","According to Jim_2002",55061,2660,"According to Jim","2002","Scripted"
"179","According to Jim_2003",61625,3177,"According to Jim","2003","Scripted"
"180","According to Jim_2004",14535,2815,"According to Jim","2004","Scripted"
"181","According to Jim_2007",2321,2321,"According to Jim","2007","Scripted"
"182","According to Jim_2008",7789,2530,"According to Jim","2008","Scripted"
"183","Accused_2010",27808,4879,"Accused","2010","Scripted"
"184","Accused_2012",14246,4953,"Accused","2012","Scripted"
"185","Ace of Wands_1971",5094,2595,"Ace of Wands","1971","Scripted"
"186","Ackley Bridge_2017",24127,5727,"Ackley Bridge","2017","Scripted"
"187","Acting Out!_2015",6609,3330,"Acting Out!","2015","Scripted"
"188","Adam Ruins Everything_2015",28202,3093,"Adam Ruins Everything","2015","Scripted"
"189","Adam Ruins Everything_2016",20206,4017,"Adam Ruins Everything","2016","Scripted"
"190","Adam Ruins Everything_2017",8560,4274,"Adam Ruins Everything","2017","Scripted"
"191","Adventure Time_2010",43811,1130,"Adventure Time","2010","Animation"
"192","Adventure Time_2011",6923,1164,"Adventure Time","2011","Animation"
"193","Adventure Time_2012",26389,1267,"Adventure Time","2012","Animation"
"194","Adventure Time_2013",34946,1230,"Adventure Time","2013","Animation"
"195","Adventure Time_2014",10531,1500,"Adventure Time","2014","Animation"
"196","Adventure Time_2015",7417,1076,"Adventure Time","2015","Animation"
"197","Adventure Time_2016",11414,1365,"Adventure Time","2016","Animation"
"198","Adventure Time_2017",17337,1401,"Adventure Time","2017","Animation"
"199","Adventures of Sonic the Hedgehog_1993",42104,1996,"Adventures of Sonic the Hedgehog","1993","Animation"
"200","Adventures of the Gummi Bears_1985",6199,2367,"Adventures of the Gummi Bears","1985","Animation"
"201","Africa's Great Civilizations_2017",40014,13123,"Africa's Great Civilizations","2017","Documentary"
"202","Africa_2013",23249,3241,"Africa","2013","Documentary"
"203","Afro Samurai_2007",3024,1655,"Afro Samurai","2007","Animation"
"204","After the Runway_2011",13787,3180,"After the Runway","2011","Reality-TV"
"205","Afterlife_2005",21655,3783,"Afterlife","2005","Scripted"
"206","Afterlife_2006",21074,2959,"Afterlife","2006","Scripted"
"207","Aftermath_2016",60709,5153,"Aftermath","2016","Scripted"
"208","Against the Wall_2011",73099,6061,"Against the Wall","2011","Scripted"
"209","Agatha Christie's Marple_2004",29018,10750,"Agatha Christie's Marple","2004","Scripted"
"210","Agatha Christie's Marple_2005",11064,11064,"Agatha Christie's Marple","2005","Scripted"
"211","Agatha Christie's Marple_2006",19356,10164,"Agatha Christie's Marple","2006","Scripted"
"212","Agatha Christie's Marple_2007",37343,9111,"Agatha Christie's Marple","2007","Scripted"
"213","Agatha Christie's Marple_2008",20362,12175,"Agatha Christie's Marple","2008","Scripted"
"214","Agatha Christie's Marple_2009",17921,9828,"Agatha Christie's Marple","2009","Scripted"
"215","Agatha Christie's Marple_2010",40166,9947,"Agatha Christie's Marple","2010","Scripted"
"216","Agatha Christie's Marple_2013",27469,8378,"Agatha Christie's Marple","2013","Scripted"
"217","Agatha Raisin_2016",39149,5565,"Agatha Raisin","2016","Scripted"
"218","Agent Carter_2015",36452,4672,"Agent Carter","2015","Scripted"
"219","Agent Carter_2016",48986,4827,"Agent Carter","2016","Scripted"
"220","Agent X_2015",35838,4006,"Agent X","2015","Scripted"
"221","Agents of S.H.I.E.L.D.: Slingshot_2016",2047,171,"Agents of S.H.I.E.L.D.: Slingshot","2016","Scripted"
"222","Agents of S.H.I.E.L.D._2013",46969,4680,"Agents of S.H.I.E.L.D.","2013","Scripted"
"223","Agents of S.H.I.E.L.D._2014",107126,4930,"Agents of S.H.I.E.L.D.","2014","Scripted"
"224","Agents of S.H.I.E.L.D._2015",107751,3630,"Agents of S.H.I.E.L.D.","2015","Scripted"
"225","Agents of S.H.I.E.L.D._2016",95927,4606,"Agents of S.H.I.E.L.D.","2016","Scripted"
"226","Agents of S.H.I.E.L.D._2017",65768,4424,"Agents of S.H.I.E.L.D.","2017","Scripted"
"227","Airwolf_1984",14318,3159,"Airwolf","1984","Scripted"
"228","Airwolf_1985",35416,4275,"Airwolf","1985","Scripted"
"229","Alaska: Earth's Frozen Kingdom_2015",13542,4500,"Alaska: Earth's Frozen Kingdom","2015","Documentary"
"230","Alcatraz_2012",42908,3877,"Alcatraz","2012","Scripted"
"231","Alfred Hitchcock Presents_1955",39024,2942,"Alfred Hitchcock Presents","1955","Scripted"
"232","Alfred Hitchcock Presents_1956",119436,2594,"Alfred Hitchcock Presents","1956","Scripted"
"233","Alfred Hitchcock Presents_1957",108809,2741,"Alfred Hitchcock Presents","1957","Scripted"
"234","Alfred Hitchcock Presents_1958",109667,3205,"Alfred Hitchcock Presents","1958","Scripted"
"235","Alfred Hitchcock Presents_1959",48607,2149,"Alfred Hitchcock Presents","1959","Scripted"
"236","Alfred Hitchcock Presents_1960",7795,2764,"Alfred Hitchcock Presents","1960","Scripted"
"237","Alias Smith and Jones_1971",78174,5785,"Alias Smith and Jones","1971","Scripted"
"238","Alias_2001",36618,3405,"Alias","2001","Scripted"
"239","Alias_2002",88424,3606,"Alias","2002","Scripted"
"240","Alias_2003",84094,3772,"Alias","2003","Scripted"
"241","Alias_2004",45036,4241,"Alias","2004","Scripted"
"242","Alias_2005",117687,3922,"Alias","2005","Scripted"
"243","Alias_2006",26864,3837,"Alias","2006","Scripted"
"244","Alice_2009",13940,6988,"Alice","2009","Scripted"
"245","Alien Mysteries_2013",21329,4974,"Alien Mysteries","2013","Scripted"
"246","Alien Nation_1989",50641,5445,"Alien Nation","1989","Scripted"
"247","Alien Nation_1990",52792,5307,"Alien Nation","1990","Scripted"
"248","Aliens in America_2007",28808,3101,"Aliens in America","2007","Scripted"
"249","Aliens in America_2008",23276,2973,"Aliens in America","2008","Scripted"
"250","All Creatures Great and Small_1978",143728,5936,"All Creatures Great and Small","1978","Scripted"
"251","All Creatures Great and Small_1979",6630,6630,"All Creatures Great and Small","1979","Scripted"
"252","All Creatures Great and Small_1980",84183,6585,"All Creatures Great and Small","1980","Scripted"
"253","All Creatures Great and Small_1988",64481,6119,"All Creatures Great and Small","1988","Scripted"
"254","All Hail King Julien_2014",2516,2516,"All Hail King Julien","2014","Animation"
"255","All Hail King Julien_2015",45537,2619,"All Hail King Julien","2015","Animation"
"256","All Hail King Julien_2016",37514,3115,"All Hail King Julien","2016","Animation"
"257","All Watched Over by Machines of Loving Grace_2011",22037,7614,"All Watched Over by Machines of Loving Grace","2011","Documentary"
"258","All in the Family_1971",15715,3745,"All in the Family","1971","Scripted"
"259","All in the Family_1972",23863,3897,"All in the Family","1972","Scripted"
"260","All in the Family_1973",13779,3769,"All in the Family","1973","Scripted"
"261","Allegiance_2015",57446,4229,"Allegiance","2015","Scripted"
"262","Allen Gregory_2011",24173,4347,"Allen Gregory","2011","Animation"
"263","Ally McBeal_1997",49078,4177,"Ally McBeal","1997","Scripted"
"264","Ally McBeal_1998",86947,4230,"Ally McBeal","1998","Scripted"
"265","Ally McBeal_1999",91132,3875,"Ally McBeal","1999","Scripted"
"266","Ally McBeal_2000",101687,4729,"Ally McBeal","2000","Scripted"
"267","Ally McBeal_2001",96188,4680,"Ally McBeal","2001","Scripted"
"268","Ally McBeal_2002",57787,4461,"Ally McBeal","2002","Scripted"
"269","Almost Human_2013",26060,4023,"Almost Human","2013","Scripted"
"270","Almost Human_2014",33603,4719,"Almost Human","2014","Scripted"
"271","Almost Royal_2014",17551,3274,"Almost Royal","2014","Scripted"
"272","Almost Royal_2016",13705,3387,"Almost Royal","2016","Scripted"
"273","Alone_2015",4140,4140,"Alone","2015","Documentary"
"274","Alone_2016",10996,7071,"Alone","2016","Documentary"
"275","Alpha House_2013",29174,2923,"Alpha House","2013","Scripted"
"276","Alpha House_2014",45519,3642,"Alpha House","2014","Scripted"
"277","Alphas_2011",60687,4857,"Alphas","2011","Scripted"
"278","Alphas_2012",63583,4842,"Alphas","2012","Scripted"
"279","Amazing Stories_1985",24968,1723,"Amazing Stories","1985","Animation"
"280","Amazing Stories_1986",20649,2388,"Amazing Stories","1986","Animation"
"281","Amazon Abyss_2005",13020,2683,"Amazon Abyss","2005","Documentary"
"282","Ambassadors_2013",19931,7424,"Ambassadors","2013","Scripted"
"283","Amber_2014",16832,4547,"Amber","2014","Scripted"
"284","America's Next Top Model_2007",12308,6424,"America's Next Top Model","2007","Reality-TV"
"285","America's Next Top Model_2009",26388,5841,"America's Next Top Model","2009","Reality-TV"
"286","America's Next Top Model_2010",26288,8410,"America's Next Top Model","2010","Reality-TV"
"287","America's Next Top Model_2011",23008,4408,"America's Next Top Model","2011","Reality-TV"
"288","America's Next Top Model_2014",74764,7917,"America's Next Top Model","2014","Reality-TV"
"289","America's Next Top Model_2015",15254,8223,"America's Next Top Model","2015","Reality-TV"
"290","America: The Story of Us_2010",51853,4498,"America: The Story of Us","2010","Documentary"
"291","American Crime Story_2016",54885,6686,"American Crime Story","2016","Scripted"
"292","American Crime_2015",56851,5917,"American Crime","2015","Scripted"
"293","American Crime_2016",50024,3951,"American Crime","2016","Scripted"
"294","American Crime_2017",28346,3346,"American Crime","2017","Scripted"
"295","American Dad!_2005",47442,3227,"American Dad!","2005","Animation"
"296","American Dad!_2006",46108,2899,"American Dad!","2006","Animation"
"297","American Dad!_2007",54287,2878,"American Dad!","2007","Animation"
"298","American Dad!_2008",43645,2815,"American Dad!","2008","Animation"
"299","American Dad!_2009",61552,2961,"American Dad!","2009","Animation"
"300","American Dad!_2010",48673,2769,"American Dad!","2010","Animation"
"301","American Dad!_2011",50723,2792,"American Dad!","2011","Animation"
"302","American Dad!_2012",49458,2400,"American Dad!","2012","Animation"
"303","American Dad!_2013",51973,2652,"American Dad!","2013","Animation"
"304","American Dad!_2014",63219,2962,"American Dad!","2014","Animation"
"305","American Dad!_2015",27269,2833,"American Dad!","2015","Animation"
"306","American Dad!_2016",80757,3030,"American Dad!","2016","Animation"
"307","American Dad!_2017",29577,2928,"American Dad!","2017","Animation"
"308","American Dreams_2002",24591,6341,"American Dreams","2002","Scripted"
"309","American Dreams_2003",12658,6432,"American Dreams","2003","Scripted"
"310","American Experience_1994",3493,3493,"American Experience","1994","Documentary"
"311","American Experience_2002",6984,6984,"American Experience","2002","Documentary"
"312","American Experience_2004",8891,8891,"American Experience","2004","Documentary"
"313","American Experience_2008",11513,11513,"American Experience","2008","Documentary"
"314","American Experience_2009",36646,8704,"American Experience","2009","Documentary"
"315","American Experience_2010",7562,7562,"American Experience","2010","Documentary"
"316","American Experience_2013",18730,10908,"American Experience","2013","Documentary"
"317","American Experience_2014",12882,12882,"American Experience","2014","Documentary"
"318","American Experience_2016",25135,13185,"American Experience","2016","Documentary"
"319","American Gods_2017",32555,3680,"American Gods","2017","Scripted"
"320","American Gothic_1995",26814,3510,"American Gothic","1995","Scripted"
"321","American Gothic_1996",46626,3398,"American Gothic","1996","Scripted"
"322","American Gothic_2016",57529,3368,"American Gothic","2016","Scripted"
"323","American Horror Story_2011",52126,4914,"American Horror Story","2011","Scripted"
"324","American Horror Story_2012",36605,3668,"American Horror Story","2012","Scripted"
"325","American Horror Story_2013",52017,4210,"American Horror Story","2013","Scripted"
"326","American Horror Story_2014",60609,4159,"American Horror Story","2014","Scripted"
"327","American Horror Story_2015",53707,4128,"American Horror Story","2015","Scripted"
"328","American Horror Story_2016",46382,3716,"American Horror Story","2016","Scripted"
"329","American Housewife_2016",30069,3243,"American Housewife","2016","Scripted"
"330","American Housewife_2017",47296,3327,"American Housewife","2017","Scripted"
"331","American Idol_2004",2756,2756,"American Idol","2004","Reality-TV"
"332","American Idol_2007",20439,3224,"American Idol","2007","Reality-TV"
"333","American Idol_2008",4034,4034,"American Idol","2008","Reality-TV"
"334","American Idol_2009",5308,5308,"American Idol","2009","Reality-TV"
"335","American Idol_2010",10569,10569,"American Idol","2010","Reality-TV"
"336","American Idol_2011",49002,12567,"American Idol","2011","Reality-TV"
"337","American Idol_2012",27872,6237,"American Idol","2012","Reality-TV"
"338","American Idol_2013",6102,6102,"American Idol","2013","Reality-TV"
"339","American Idol_2014",199176,10405,"American Idol","2014","Reality-TV"
"340","American Masters_2000",20462,8884,"American Masters","2000","Documentary"
"341","American Masters_2004",13753,13753,"American Masters","2004","Documentary"
"342","American Masters_2005",23424,9921,"American Masters","2005","Documentary"
"343","American Masters_2006",11763,11763,"American Masters","2006","Documentary"
"344","American Masters_2013",12663,12663,"American Masters","2013","Documentary"
"345","American Odyssey_2015",52630,5137,"American Odyssey","2015","Scripted"
"346","American Playboy: The Hugh Hefner Story_2017",33593,4810,"American Playboy: The Hugh Hefner Story","2017","Documentary"
"347","An Idiot Abroad_2010",46701,6145,"An Idiot Abroad","2010","Documentary"
"348","An Idiot Abroad_2011",30631,5124,"An Idiot Abroad","2011","Documentary"
"349","An Idiot Abroad_2012",18970,6384,"An Idiot Abroad","2012","Documentary"
"350","Ancient Aliens_2009",9950,9950,"Ancient Aliens","2009","Documentary"
"351","Ancient Aliens_2010",106899,5236,"Ancient Aliens","2010","Documentary"
"352","Ancient Aliens_2011",84943,5139,"Ancient Aliens","2011","Documentary"
"353","Ancient Aliens_2012",63252,5226,"Ancient Aliens","2012","Documentary"
"354","Ancient Aliens_2013",108410,5199,"Ancient Aliens","2013","Documentary"
"355","Ancient Aliens_2014",120978,5506,"Ancient Aliens","2014","Documentary"
"356","Ancient Aliens_2015",54920,4961,"Ancient Aliens","2015","Documentary"
"357","Ancient Aliens_2016",75548,5138,"Ancient Aliens","2016","Documentary"
"358","Ancient Aliens_2017",20658,5247,"Ancient Aliens","2017","Documentary"
"359","Ancient Rome: The Rise and Fall of an Empire_2006",25337,4807,"Ancient Rome: The Rise and Fall of an Empire","2006","Scripted"
"360","Ancient Worlds_2010",39986,6430,"Ancient Worlds","2010","Documentary"
"361","And Then There Were None_2015",11685,4099,"And Then There Were None","2015","Scripted"
"362","Andi Mack_2017",5594,3007,"Andi Mack","2017","Scripted"
